"Accident_Index","Location_Easting_OSGR ","Location_Northing_OSGR","Longitude","Latitude","Police_Force","Accident_Severity","Number_of_Vehicles","Number_of_Casualties","Date","Day_of_Week","Time","Local_Authority_(District)","Local_Authority_(Highway)","1st_Road_Class","1st_Road_Number","Road_Type","Speed_limit","Junction_Detail","Junction_Control","2nd_Road_Class","2nd_Road_Number","Pedestrian_Crossing-Human_Control","Pedestrian_Crossing-Physical_Facilities","Light_Conditions","Weather_Conditions","Road_Surface_Conditions","Special_Conditions_at_Site","Carriageway_Hazards","Urban_or_Rural_Area","Did_Police_Officer_Attend_Scene_of_Accident","LSOA_of_Accident_Location"
"200812D100026","460830","452510","-1.0742609999999999","53.965099000000002","12","3","1","1","2008-01-10","5","23:58:00.0000000","189","E06000014","6","0","6","30","3","4","6","0","0","0","4","2","2","0","0","1","1","E01013369"
"2009120000327","460220","446720","-1.0846979999999999","53.913136999999999","12","3","1","1","2009-01-01","5","08:40:00.0000000","189","E06000014","4","1222","6","60","0","-1","-1","0","0","0","6","1","1","0","0","2","1","E01013450"
"2009120001621","461460","448010","-1.065564","53.924585","12","3","1","1","2009-01-03","7","22:29:00.0000000","189","E06000014","3","19","1","60","1","4","3","64","0","0","4","1","4","0","0","2","1","E01013365"
"2009120002018","465130","451620","-1.0089170000000001","53.956578999999998","12","2","2","1","2009-01-04","1","17:15:00.0000000","189","E06000014","3","1079","3","40","3","2","4","1228","0","0","4","1","2","0","0","2","1","E01013351"
"2009120002510","460850","452490","-1.07396","53.964917","12","3","2","1","2009-01-05","2","20:40:00.0000000","189","E06000014","6","0","1","30","1","4","6","0","0","8","4","1","1","0","0","1","1","E01013369"
"2009120002650","459310","450910","-1.0977380000000001","53.950896999999998","12","2","2","2","2009-01-06","3","08:38:00.0000000","189","E06000014","3","1036","6","30","3","4","6","0","0","0","1","1","1","0","0","1","1","E01013417"
"2009120002862","462620","451500","-1.0471870000000001","53.95581","12","3","1","1","2009-01-05","2","07:20:00.0000000","189","E06000014","6","0","6","30","0","-1","-1","0","0","1","4","1","1","0","0","1","2",""
"2009120002969","462720","451280","-1.045709","53.95382","12","3","3","2","2009-01-06","3","17:00:00.0000000","189","E06000014","3","1079","6","30","6","2","6","0","0","5","4","1","1","0","0","1","1","E01013398"
"2009120003119","458810","455100","-1.104549","53.988607999999999","12","3","2","3","2009-01-07","4","01:11:00.0000000","189","E06000014","6","0","6","40","0","-1","-1","0","0","0","4","1","2","0","0","1","1","E01013431"
"2009120003396","461750","449810","-1.0607850000000001","53.940725999999998","12","3","2","1","2009-01-07","4","16:20:00.0000000","189","E06000014","6","0","1","30","1","4","6","0","0","0","4","1","2","0","0","1","1","E01013360"
"2009120003633","461210","454190","-1.068133","53.980151999999997","12","3","2","1","2009-01-08","5","07:40:00.0000000","189","E06000014","6","0","6","30","3","4","6","0","0","0","1","1","2","0","0","1","1","E01013406"
"2009120004501","458910","452780","-1.103472","53.967748","12","2","2","1","2009-01-09","6","17:34:00.0000000","189","E06000014","6","0","6","30","0","-1","-1","0","0","0","4","1","1","0","0","2","1","E01013390"
"2009120004604","462070","457310","-1.054386","54.008088000000001","12","3","1","1","2009-01-09","6","15:55:00.0000000","189","E06000014","6","0","6","30","3","4","6","0","0","0","1","1","1","0","0","2","2","E01013436"
"2009120004906","459120","447850","-1.101224","53.923419000000003","12","3","2","1","2009-01-10","7","12:02:00.0000000","189","E06000014","6","0","6","30","0","-1","-1","0","0","0","1","1","2","0","0","2","1","E01013340"
"2009120005120","462010","456930","-1.0553790000000001","54.00468","12","3","2","1","2009-01-10","7","17:20:00.0000000","189","E06000014","3","1237","1","60","1","4","6","0","0","0","4","1","1","0","0","2","1","E01013409"
"2009120006075","460520","451820","-1.0791230000000001","53.958934999999997","12","3","2","1","2009-01-12","2","14:45:00.0000000","189","E06000014","6","0","2","30","9","4","6","0","0","0","1","1","2","0","0","1","1","E01013367"
"2009120006267","466310","457930","-0.98956500000000003","54.013134000000001","12","3","3","1","2009-01-12","2","08:45:00.0000000","189","E06000014","3","64","6","60","6","4","6","0","0","0","1","1","2","0","0","2","2","E01013437"
"2009120006705","464790","455280","-1.0133209999999999","53.989511999999998","12","3","2","1","2009-01-13","3","14:41:00.0000000","189","E06000014","6","0","6","40","3","4","6","0","0","0","1","1","1","0","0","2","1","E01013437"
"2009120006795","459420","455200","-1.095227","53.989437000000002","12","3","2","1","2009-01-13","3","17:05:00.0000000","189","E06000014","6","0","6","30","3","4","6","0","0","0","4","2","2","0","0","1","1","E01013431"
"2009120006829","460430","452800","-1.0803","53.967751999999997","12","3","2","1","2009-01-13","3","19:00:00.0000000","189","E06000014","6","0","2","30","0","-1","-1","0","0","0","4","1","1","0","0","1","2","E01013368"
"2009120007251","458840","449930","-1.1050869999999999","53.942143000000002","12","3","2","1","2009-01-13","3","13:40:00.0000000","189","E06000014","3","1036","6","30","3","4","6","0","0","0","1","1","2","0","0","1","2","E01013358"
"2009120007385","456940","452990","-1.133459","53.969855000000003","12","3","2","4","2009-01-14","4","17:10:00.0000000","189","E06000014","3","59","1","30","1","4","6","0","0","0","4","1","1","0","0","1","1","E01013339"
"2009120007811","464070","455330","-1.0242899999999999","53.990051000000001","12","3","2","1","2009-01-14","4","13:30:00.0000000","189","E06000014","3","1036","1","30","1","4","3","64","0","0","1","1","1","0","0","2","2","E01013437"
"2009120008467","460710","453660","-1.0758620000000001","53.975448","12","3","2","1","2009-01-16","6","16:45:00.0000000","189","E06000014","6","0","6","30","1","4","6","0","0","0","4","1","1","0","0","1","1","E01013348"
"2009120009487","461480","447990","-1.0652630000000001","53.924402999999998","12","3","2","1","2009-01-18","1","12:05:00.0000000","189","E06000014","3","64","1","40","1","4","3","19","0","0","1","1","1","0","0","2","1","E01013365"
"2009120010211","457360","452640","-1.1271230000000001","53.966664000000002","12","3","2","1","2009-01-19","2","18:15:00.0000000","189","E06000014","3","59","6","30","3","4","6","0","0","0","4","1","1","0","0","1","2","E01013338"
"2009120010480","461170","450580","-1.069466","53.947715000000002","12","2","1","1","2009-01-20","3","10:09:00.0000000","189","E06000014","6","0","6","30","3","4","6","0","0","0","1","1","4","0","0","1","1","E01013362"
"2009120010523","459370","459150","-1.0952200000000001","54.024940999999998","12","3","1","1","2009-01-20","3","11:10:00.0000000","189","E06000014","4","1363","6","60","8","4","6","0","0","0","1","1","2","0","0","2","1","E01013377"
"2009120010602","461990","447200","-1.057658","53.917242999999999","12","2","2","1","2009-01-20","3","12:21:00.0000000","189","E06000014","3","19","6","60","0","-1","-1","0","0","0","1","1","1","0","0","2","1","E01013450"
"2009120010780","462380","458820","-1.049347","54.021621000000003","12","3","2","1","2009-01-20","3","17:30:00.0000000","189","E06000014","6","0","6","60","8","4","6","0","0","0","4","1","1","0","0","2","1","E01013436"
"2009120011484","457460","448970","-1.126288","53.933670999999997","12","3","1","2","2009-01-22","5","00:08:00.0000000","189","E06000014","6","0","6","30","3","4","6","0","0","0","4","1","2","0","0","1","1","E01013355"
"2009120012306","460970","451500","-1.0723290000000001","53.956006000000002","12","2","1","1","2009-01-22","5","15:20:00.0000000","189","E06000014","6","0","6","30","0","-1","-1","0","0","0","1","1","1","0","0","1","1","E01013367"
"2009120012408","460300","453570","-1.08213","53.974687000000003","12","3","2","1","2009-01-22","5","17:00:00.0000000","189","E06000014","4","1363","6","30","9","4","6","0","0","0","1","1","1","0","0","1","2","E01013350"
"2009120013029","463970","454550","-1.0259780000000001","53.983054000000003","12","3","2","1","2009-01-24","7","14:09:00.0000000","189","E06000014","6","0","6","60","0","-1","-1","0","0","0","1","1","2","0","0","2","1","E01013388"
"2009120013294","461540","452820","-1.0633779999999999","53.967801000000001","12","3","1","1","2009-01-24","7","22:40:00.0000000","189","E06000014","3","1036","1","30","1","4","6","0","0","5","4","1","2","0","0","1","1","E01013380"
"2009120013964","459140","451230","-1.100266","53.953792","12","3","1","1","2009-01-26","2","08:30:00.0000000","189","E06000014","3","59","6","30","3","4","6","0","0","4","1","1","2","0","0","1","2","E01013391"
"2009120014112","456270","447510","-1.1446799999999999","53.920679999999997","12","3","1","1","2009-01-26","2","15:05:00.0000000","189","E06000014","3","64","3","70","0","-1","-1","0","0","0","1","1","1","0","0","2","1","E01013421"
"2009120014636","459220","452980","-1.098708","53.96951","12","3","2","1","2009-01-27","3","10:30:00.0000000","189","E06000014","6","0","6","30","3","4","6","0","0","0","1","1","2","0","0","1","2","E01013346"
"2009120015042","458290","448000","-1.1138330000000001","53.924861","12","3","2","1","2009-01-28","4","09:03:00.0000000","189","E06000014","3","64","3","70","0","-1","-1","0","0","0","1","1","2","0","0","2","1","E01013421"
"2009120015198","458360","454000","-1.111621","53.978774000000001","12","3","2","1","2009-01-28","4","14:30:00.0000000","189","E06000014","3","19","6","30","3","4","6","0","0","0","1","1","1","0","0","1","1","E01013433"
"2009120016492","456540","447360","-1.1405970000000001","53.919302999999999","12","3","2","1","2009-01-30","6","08:15:00.0000000","189","E06000014","6","0","6","30","0","-1","-1","0","0","0","1","1","1","0","0","2","2","E01013423"
"2009120016575","462820","456300","-1.0431520000000001","53.998921000000003","12","3","2","1","2009-01-20","3","08:30:00.0000000","189","E06000014","3","1237","1","30","2","4","6","0","0","0","1","1","1","0","0","2","2","E01013409"
"2009120016748","461590","453920","-1.0623940000000001","53.977680999999997","12","2","2","3","2009-01-31","7","02:05:00.0000000","189","E06000014","6","0","6","30","3","4","6","0","0","0","4","1","2","0","0","1","1","E01013385"
"2009120017127","456180","447140","-1.146118","53.917364999999997","12","3","3","4","2009-01-31","7","16:15:00.0000000","189","E06000014","6","0","6","30","7","4","6","0","0","0","1","1","1","0","0","2","1","E01013424"
"2009120017171","457670","454980","-1.121956","53.987658000000003","12","3","2","1","2009-01-31","7","18:25:00.0000000","189","E06000014","3","1237","6","60","0","-1","-1","0","0","0","6","1","1","0","0","2","1","E01013432"
"2009120017273","458280","452030","-1.1132169999999999","53.961078999999998","12","3","2","3","2009-01-31","7","21:00:00.0000000","189","E06000014","6","0","6","30","0","-1","-1","0","0","0","4","1","1","0","0","1","2","E01013393"
