Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
200812D100026,1,1,1,1,17,4,3,0,0,0,0,-1,9,1,
2011120000261,1,1,1,1,20,4,3,0,0,0,0,0,9,1,
2011120000965,1,1,2,2,24,5,3,0,0,2,0,0,9,1,
2011120001356,1,1,1,1,26,6,3,0,0,0,0,0,1,3,
2011120002021,1,1,1,2,26,6,3,0,0,0,0,0,9,1,
2011120002510,1,1,1,1,20,4,3,0,0,0,0,0,9,1,
2011120002584,2,1,1,1,23,5,3,0,0,0,0,0,1,-1,
2011120002590,1,1,3,1,34,6,2,5,3,0,0,0,0,-1,
2011120003167,1,3,2,2,81,11,3,0,0,2,0,0,9,1,
2011120003167,1,4,2,2,83,11,3,0,0,2,0,0,9,2,
2011120003167,2,1,1,2,63,9,3,0,0,0,0,0,9,2,
2011120003167,2,2,2,1,59,9,3,0,0,1,0,0,9,2,
2011120004282,1,1,1,1,43,7,3,0,0,0,0,0,9,1,
2011120005080,1,1,3,2,64,9,3,5,1,0,0,0,0,1,
2011120005410,1,1,1,1,23,5,3,0,0,0,0,0,1,1,
2011120005913,2,1,1,2,21,5,3,0,0,0,0,0,16,3,
2011120006641,1,1,1,1,20,4,3,0,0,0,0,0,1,-1,
2011120008337,1,1,1,2,61,9,3,0,0,0,0,0,9,1,
2011120008524,1,1,3,1,22,5,3,9,8,0,0,0,0,2,
2011120008588,2,1,1,1,41,7,3,0,0,0,0,0,9,1,
2011120009065,1,1,3,2,59,9,3,5,3,0,0,0,0,-1,
2011120009269,1,1,3,1,30,6,3,1,2,0,0,0,0,-1,
2011120009319,1,1,1,1,28,6,3,0,0,0,0,0,90,1,
2011120009393,1,1,1,1,66,10,2,0,0,0,0,0,9,1,
2011120009393,2,2,1,1,56,9,3,0,0,0,0,0,9,1,
2011120009393,3,3,2,2,65,9,3,0,0,1,0,0,9,1,
2011120009493,1,1,1,1,20,4,3,0,0,0,0,0,3,1,
2011120009533,3,1,1,2,54,8,3,0,0,0,0,0,1,1,
2011120009700,2,1,1,1,42,7,3,0,0,0,0,0,1,1,
2011120009910,1,1,1,2,60,9,2,0,0,0,0,0,1,1,
2011120010179,1,1,1,1,16,4,3,0,0,0,0,0,2,1,
2011120010722,2,1,1,1,56,9,3,0,0,0,0,0,1,-1,
2011120011272,1,1,1,1,20,4,3,0,0,0,0,0,1,1,
2011120011632,1,1,3,1,22,5,3,6,8,0,0,0,0,1,
2011120012187,1,1,1,1,44,7,3,0,0,0,0,0,5,-1,
2011120012843,2,1,1,1,59,9,3,0,0,0,0,0,1,3,
2011120012951,1,1,1,1,26,6,3,0,0,0,0,0,9,3,
2011120015306,1,1,2,1,25,5,3,0,0,1,0,0,9,1,
2011120015378,1,1,3,2,17,4,3,5,3,0,0,0,0,2,
2011120016228,2,1,1,1,52,8,3,0,0,0,0,0,1,1,
2011120016290,1,1,2,2,12,3,3,0,0,2,0,0,9,1,
2011120016931,1,1,1,2,16,4,3,0,0,0,0,0,2,1,
2011120017431,1,1,1,1,26,6,3,0,0,0,0,0,9,1,
2011120017470,2,1,1,2,35,6,3,0,0,0,0,0,1,1,
2011120017686,1,1,1,2,60,9,3,0,0,0,0,0,3,1,
2011120017692,1,1,1,2,69,10,3,0,0,0,0,0,1,1,
2011120017709,1,1,3,2,68,10,3,10,3,0,0,0,0,1,
2011120018314,1,1,1,2,22,5,2,0,0,0,0,0,9,3,
2011120018435,2,1,1,2,19,4,3,0,0,0,0,0,9,-1,
2011120018970,1,1,3,2,56,9,3,2,1,0,0,0,0,1,
2011120019716,1,1,1,1,43,7,3,0,0,0,0,0,5,1,
2011120021227,1,1,1,1,27,6,3,0,0,0,0,0,9,1,
2011120021227,2,2,1,1,62,9,3,0,0,0,0,0,9,1,
2011120022266,1,1,1,1,50,8,3,0,0,0,0,0,2,3,
2011120023384,1,1,1,1,43,7,3,0,0,0,0,0,9,2,
2011120023384,1,2,2,1,17,4,3,0,0,1,0,0,9,2,
2011120026390,1,1,1,1,17,4,3,0,0,0,0,0,3,3,
2011120026453,2,1,1,2,42,7,3,0,0,0,0,0,1,1,
2011120027008,1,1,1,2,16,4,2,0,0,0,0,0,1,1,
2011120027756,2,1,1,1,32,6,3,0,0,0,0,0,5,3,
2011120027922,1,1,3,1,75,10,3,5,1,0,0,2,0,3,
2011120029259,1,1,1,2,20,4,3,0,0,0,0,0,1,-1,
2011120029342,2,1,1,1,43,7,3,0,0,0,0,0,9,3,
2011120030141,1,1,1,2,25,5,3,0,0,0,0,0,1,1,
2011120030693,2,1,1,1,16,4,2,0,0,0,0,0,2,2,
2011120031003,1,1,1,2,53,8,3,0,0,0,0,0,9,1,
2011120031168,2,1,1,1,30,6,3,0,0,0,0,0,2,-1,
2011120031245,2,1,1,1,51,8,3,0,0,0,0,0,9,1,
2011120031245,2,2,2,1,52,8,3,0,0,1,0,0,9,1,
2011120031245,2,3,2,1,19,4,3,0,0,2,0,0,9,1,
2011120031478,2,1,1,1,63,9,3,0,0,0,0,0,1,1,
2011120031482,2,1,1,1,38,7,3,0,0,0,0,0,1,-1,
2011120031800,1,1,3,1,59,9,3,1,1,0,0,0,0,-1,
2011120032398,1,1,1,1,30,6,2,0,0,0,0,0,9,1,
2011120032398,1,2,2,2,43,7,3,0,0,1,0,0,9,-1,
2011120032398,1,3,2,2,37,7,3,0,0,2,0,0,9,-1,
2011120032508,2,1,1,2,22,5,3,0,0,0,0,0,9,-1,
2011120033032,1,1,3,2,17,4,3,5,1,0,0,0,0,2,
2011120033069,1,1,2,2,49,8,3,0,0,2,0,0,8,1,
2011120033085,2,1,2,1,83,11,3,0,0,0,3,0,11,1,
2011120033249,2,1,1,2,41,7,3,0,0,0,0,0,1,3,
2011120033720,1,1,3,1,59,9,3,4,1,0,0,0,0,1,
2011120033814,1,1,1,2,20,4,3,0,0,0,0,0,9,1,
2011120033814,1,6,2,2,19,4,3,0,0,1,0,0,9,-1,
2011120033814,3,2,1,1,45,7,3,0,0,0,0,0,19,-1,
2011120033814,4,3,1,2,20,4,3,0,0,0,0,0,9,-1,
2011120033814,5,4,1,1,53,8,3,0,0,0,0,0,9,1,
2011120033814,6,5,1,1,27,6,3,0,0,0,0,0,9,1,
2011120033814,6,7,2,1,60,9,3,0,0,1,0,0,9,1,
2011120034917,1,1,1,1,43,7,3,0,0,0,0,0,9,-1,
2011120034917,1,2,2,1,58,9,3,0,0,1,0,0,9,1,
2011120034946,2,1,1,1,33,6,3,0,0,0,0,0,5,1,
2011120035242,1,1,2,2,14,3,3,0,0,0,4,0,11,-1,
2011120036343,2,1,1,1,32,6,3,0,0,0,0,0,1,1,
2011120036749,2,1,1,1,52,8,3,0,0,0,0,0,9,2,
2011120037046,1,1,1,2,22,5,3,0,0,0,0,0,9,-1,
2011120037046,3,2,1,1,46,8,3,0,0,0,0,0,1,1,
2011120037298,2,1,1,1,48,8,3,0,0,0,0,0,5,2,
2011120037422,2,1,1,1,13,3,3,0,0,0,0,0,1,1,
2011120037655,2,1,1,1,27,6,3,0,0,0,0,0,9,-1,
2011120037655,2,2,2,1,27,6,3,0,0,1,0,0,9,-1,
2011120037655,2,3,2,2,21,5,3,0,0,2,0,0,9,-1,
2011120037865,2,1,2,2,81,11,3,0,0,1,0,0,9,1,
