"Acc_Index","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location-Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","1st_Po_of_Impact","Was_Vehicle_Left_Hand_Drive?","Journey_Purpose_of_Driver","Sex_of_Driver","Age_of_Driver","Age_Band_of_Driver","Engine_Capacity_(CC)","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type","Vehicle_IMD_Decile"
"200812D100026","1","9","0","18","0","2","0","0","1","4","1","1","15","1","17","4","1796","1","11","2","1",""
"2012120000415","1","9","0","18","0","0","0","0","7","4","1","1","6","1","32","6","-1","-1","-1","10","2",""
"2012120001401","1","2","0","18","0","0","1","0","0","0","4","1","1","1","20","4","50","1","1","9","1",""
"2012120001401","2","9","0","5","0","0","0","0","0","0","3","1","6","3","-1","-1","-1","-1","-1","-1","-1",""
"2012120001484","1","11","0","18","0","0","0","0","0","0","1","2","1","3","-1","-1","-1","-1","-1","-1","-1",""
"2012120001484","2","1","0","18","0","0","0","0","0","0","3","1","5","1","42","7","-1","-1","-1","6","1",""
"2012120002047","1","9","0","18","0","8","0","0","0","0","0","1","6","2","20","4","1199","1","11","3","1",""
"2012120002855","1","9","0","18","0","4","0","0","0","0","4","1","1","1","54","8","1997","2","9","6","1",""
"2012120002855","2","1","0","9","0","8","0","0","0","0","1","1","1","2","61","9","-1","-1","-1","3","1",""
"2012120002924","1","1","0","18","0","0","0","0","0","0","3","1","6","1","36","7","-1","-1","-1","7","1",""
"2012120002924","2","9","0","6","0","0","0","0","0","0","3","1","6","1","59","9","1248","2","2","1","1",""
"2012120002963","1","19","0","10","0","0","0","0","0","0","3","1","5","1","51","8","2198","2","1","9","1",""
"2012120002963","2","9","0","18","0","0","0","0","0","0","1","1","1","2","23","5","1968","2","4","7","3",""
"2012120002964","1","1","0","18","0","0","0","0","0","0","1","1","6","3","28","6","-1","-1","-1","-1","-1",""
"2012120003465","1","9","0","7","0","8","0","0","0","0","4","1","5","3","-1","-1","-1","-1","-1","-1","-1",""
"2012120003503","1","9","0","4","0","0","0","0","0","0","2","1","6","1","75","10","1398","1","6","8","3",""
"2012120003503","2","9","0","18","0","0","0","0","0","0","1","1","6","1","24","5","1794","1","9","10","1",""
"2012120003503","3","9","0","18","0","0","0","0","0","0","1","1","6","2","58","9","-1","-1","-1","6","3",""
"2012120003503","4","9","0","18","0","0","0","0","0","0","1","1","6","2","54","8","-1","-1","-1","2","1",""
"2012120003503","5","9","0","18","0","0","0","0","0","0","1","1","6","1","32","6","1686","2","5","9","1",""
"2012120003503","6","9","0","18","0","0","0","0","0","0","1","1","6","1","51","8","1997","2","7","5","1",""
"2012120003838","1","9","0","18","0","0","1","0","0","0","1","1","5","1","21","5","-1","-1","-1","9","3",""
"2012120003838","2","20","0","3","0","0","0","0","0","0","2","2","2","1","29","6","-1","-1","-1","-1","-1",""
"2012120003969","1","5","0","13","0","8","0","0","0","0","1","1","6","1","48","8","998","1","4","4","1",""
"2012120003969","2","9","0","9","0","5","0","0","0","0","3","1","6","1","40","7","1968","2","1","9","3",""
"2012120006391","1","9","0","7","0","1","0","0","0","0","2","1","6","2","24","5","1360","1","14","3","1",""
"2012120006391","2","1","0","18","0","1","0","0","0","0","1","1","6","1","36","7","-1","-1","-1","3","1",""
"2012120006584","1","3","0","2","6","0","0","0","0","0","2","1","5","2","50","8","-1","-1","-1","8","1",""
"2012120006584","2","19","0","1","6","0","0","0","0","0","1","1","5","1","40","7","2402","2","6","1","1",""
"2012120007991","1","9","0","3","0","8","0","0","0","0","1","1","1","1","36","7","1598","1","1","7","1",""
"2012120007991","2","1","0","18","0","1","0","0","0","0","1","1","1","1","28","6","-1","-1","-1","5","1",""
"2012120008167","1","21","0","18","0","0","0","0","0","0","1","1","1","1","50","8","-1","-1","-1","8","1",""
"2012120008167","2","9","0","4","0","0","0","0","0","0","2","1","6","1","64","9","-1","-1","-1","10","1",""
"2012120008189","1","9","0","1","0","6","0","0","0","0","2","1","6","1","24","5","1798","1","6","4","1",""
"2012120008512","1","19","0","18","0","0","1","0","0","0","1","1","6","1","40","7","2999","2","6","3","1",""
"2012120008512","2","20","0","5","0","0","0","0","0","0","2","1","6","1","57","9","-1","-1","-1","8","1",""
"2012120008522","1","9","0","18","0","1","0","0","0","0","1","1","3","2","36","7","1242","1","15","3","1",""
"2012120008847","1","9","0","18","0","6","0","0","1","0","3","1","5","2","33","6","-1","-1","-1","-1","-1",""
"2012120008847","2","9","0","18","0","8","0","0","0","0","1","1","5","1","23","5","1596","1","8","9","1",""
"2012120009263","1","1","0","18","0","1","0","4","0","0","3","1","5","1","17","4","-1","-1","-1","2","1",""
"2012120009853","1","9","0","9","0","8","0","0","0","0","1","1","6","2","18","4","-1","-1","-1","10","1",""
"2012120009853","2","9","0","18","0","1","0","0","0","0","1","1","6","1","51","8","1870","2","9","9","3",""
